"","name","handedness","height","weight","avg","HR"
"73","Cesar Tovar","R",69,155,0.278,46
"74","Mickey Lolich","B",73,170,0.11,0
"76","Jack Heidemann","R",72,175,0.211,9
"77","Rich Rollins","R",70,185,0.269,77
"78","Walt Bond","L",79,228,0.256,41
"79","Merv Rettenmund","R",70,190,0.271,66
"81","Byron Browne","R",74,190,0.236,30
"82","Hector Torres","R",72,175,0.216,18
"83","Walt Williams","R",66,165,0.27,33
"84","Jerry Koosman","R",74,205,0.119,2
"85","Steve Lombardozzi","R",72,175,0.233,20
"86","Joe Azcue","R",72,190,0.252,50
"87","Elliott Maddox","R",71,180,0.261,18
"88","Omar Moreno","L",74,180,0.252,37
"89","Julian Javier","R",73,175,0.257,78
"91","Elio Chacon","R",69,160,0.232,4
"92","Rusty Torres","B",70,175,0.212,35
"93","John Stearns","R",72,185,0.26,46
"94","Larry Brown","R",70,160,0.233,47
"95","Tommy Dean","R",72,165,0.18,4
"98","Marty Martinez","B",72,170,0.243,0
"99","Bruce Boisclair","L",74,185,0.263,10
"100","Ken Singleton","B",76,210,0.282,246
"101","Frank White","R",71,165,0.255,160
"102","Jim Fairey","L",70,190,0.235,7
"104","Tom Brookens","R",70,165,0.246,71
"105","Gary Thomasson","L",73,180,0.249,61
"109","Otto Velez","R",72,170,0.251,78
"110","Tony Scott","B",72,164,0.249,17
"111","Ray Oyler","R",71,165,0.175,15
"113","Floyd Robinson","L",69,175,0.283,67
"114","Steve Jeltz","B",71,180,0.21,5
"115","Lou Brock","L",71,170,0.293,149
"117","Joe Lovitto","B",72,185,0.216,4
"119","Wayne Comer","R",70,175,0.229,16
"120","Dave Collins","B",71,175,0.272,32
"121","Ed Spiezio","R",71,180,0.238,39
"122","Rico Petrocelli","R",72,175,0.251,210
"123","Johnny Lewis","L",73,189,0.227,22
"124","Dick Simpson","R",76,176,0.207,15
"125","Ken Boswell","L",72,170,0.248,31
"126","Ken McMullen","R",75,190,0.248,156
"128","Steve Swisher","R",74,205,0.216,20
"130","Dick Howser","R",68,155,0.248,16
"131","Manny Castillo","B",69,160,0.242,3
"132","Mike Ramsey","B",73,170,0.24,2
"133","Willie Crawford","L",73,197,0.268,86
"135","Willie Norwood","R",72,185,0.242,18
"137","Jeff Stone","L",72,175,0.277,11
"139","Joe Lahoud","L",73,198,0.223,65
"140","Tim Flannery","L",71,175,0.255,9
"141","Dave McKay","B",73,195,0.229,21
"145","Benny Ayala","R",73,185,0.251,38
"147","Greg Gross","L",70,160,0.287,7
"149","Sal Butera","R",72,190,0.227,8
"150","Jack Brohamer","L",70,165,0.245,30
"151","Von Joshua","L",70,170,0.273,30
"152","Eddie Milner","L",71,173,0.253,42
"153","Johnny Jeter","R",73,180,0.244,18
"154","Angel Salazar","R",72,180,0.212,2
"155","Tony Oliva","L",73,175,0.304,220
"156","Cito Gaston","R",75,190,0.256,91
"157","Cookie Rojas","R",70,160,0.263,54
"158","Rich Morales","R",71,170,0.195,6
"160","Dan Ford","R",73,185,0.27,121
"162","Darryl Motley","R",69,196,0.243,44
"163","Ozzie Virgil","R",73,180,0.243,98
"164","Johnny Oates","L",71,188,0.25,14
"166","Mike Phillips","L",72,170,0.24,11
"167","Ron Santo","R",72,190,0.277,342
"168","Jay Johnstone","L",73,175,0.267,102
"169","Jim Ray Hart","R",71,185,0.278,170
"170","Marc Hill","R",75,205,0.223,34
"173","Chico Salmon","R",70,160,0.249,31
"174","Joe Niekro","R",73,185,0.156,1
"175","Andy Etchebarren","R",73,190,0.235,49
"176","Ken Berry","R",72,175,0.255,58
"177","Dave Concepcion","R",74,155,0.267,101
"178","Junior Moore","R",71,185,0.264,7
"179","Mike Richardt","R",72,170,0.226,4
"180","Chris Brown","R",72,185,0.269,38
"181","Al Bumbry","L",68,170,0.281,54
"182","Al Downing","R",71,175,0.127,2
"183","Bob Didier","B",72,190,0.229,0
"184","Jake Gibbs","L",72,180,0.233,25
"185","Garry Hancock","L",72,175,0.247,12
"186","Ed Kranepool","L",75,205,0.261,118
"187","Rick Rhoden","R",75,195,0.238,9
"188","Denny McLain","R",73,185,0.133,1
"189","Chuck Hiller","L",71,170,0.243,20
"190","Jorge Orta","L",70,170,0.278,130
"191","Dave Cash","R",71,170,0.283,21
"192","Bucky Dent","R",69,170,0.247,40
"195","Tony Gonzalez","L",69,170,0.286,103
"197","Larry Haney","R",74,195,0.215,12
"198","Billy Conigliaro","R",72,180,0.256,40
"199","Gary Roenicke","R",75,205,0.247,121
"200","Don Lock","R",74,195,0.238,122
"201","Billy Cowan","R",72,170,0.236,40
"202","Billy Smith","B",74,185,0.23,17
"204","Tony Perez","R",74,175,0.279,379
"205","Chuck Schilling","R",70,160,0.239,23
"206","Hal McRae","R",71,180,0.29,191
"207","Dave Roberts","R",75,215,0.239,49
"209","Jim Lefebvre","B",72,180,0.251,74
"212","Charlie Spikes","R",75,215,0.246,65
"214","Steve Whitaker","L",72,180,0.23,24
"215","Manny Jimenez","L",73,185,0.272,26
"217","Duffy Dyer","R",72,187,0.221,30
"218","Ken Henderson","B",74,180,0.257,122
"221","Vern Fuller","R",73,170,0.232,14
"223","Wayne Gross","L",74,210,0.233,121
"224","Mike Champion","R",72,185,0.229,2
"226","Paul Casanova","R",76,180,0.225,50
"227","Steve Rogers","R",74,175,0.138,0
"229","Terry Crowley","L",72,180,0.25,42
"230","Horace Clarke","B",69,170,0.256,27
"231","Lou Clinton","R",73,185,0.247,65
"232","Larry Cox","R",70,178,0.221,12
"233","Nate Colbert","R",74,190,0.243,173
"234","Phil Roof","R",74,190,0.215,43
"235","Chuck Hinton","R",73,180,0.264,113
"236","Tim Cullen","R",73,185,0.22,9
"237","Tim Harkness","L",74,182,0.235,14
"238","Rick Bosetti","R",71,185,0.25,17
"239","Ron Pruitt","R",72,185,0.269,12
"240","George Foster","R",73,180,0.274,348
"241","Jerry White","B",70,164,0.253,21
"242","Angel Mangual","R",70,178,0.245,22
"243","Ken Gerhart","R",72,190,0.221,24
"244","Mike Hershberger","R",70,175,0.252,26
"245","Jim French","L",68,180,0.196,5
"246","Dave Roberts","L",75,195,0.194,7
"247","Jim Mason","L",74,185,0.203,12
"249","Willie Smith","L",72,182,0.248,46
"251","Jose Arcia","R",75,170,0.215,1
"252","Leon Durham","L",73,185,0.277,147
"254","Paul Householder","B",72,180,0.236,29
"255","Aurelio Rodriguez","R",70,180,0.237,124
"256","Jimmy Stewart","B",72,165,0.237,8
"257","Dick Phillips","L",72,180,0.229,12
"258","Andres Thomas","R",73,170,0.234,42
"259","Ed Crosby","L",74,175,0.22,0
"260","Mike de la Hoz","R",71,175,0.251,25
"261","Frank Taveras","R",72,155,0.255,2
"262","Joe Nossek","R",72,178,0.228,3
"263","Larry Stahl","L",72,175,0.232,36
"264","Jose Cruz","L",72,170,0.284,165
"265","Don Mason","L",71,160,0.205,3
"266","Bill Robinson","R",74,189,0.258,166
"268","Sal Bando","R",72,195,0.254,242
"269","George Mitterwald","R",74,195,0.236,76
"271","Craig Robinson","R",70,165,0.219,0
"272","Bob Tillman","R",76,205,0.232,79
"274","Pat Corrales","R",72,180,0.216,4
"275","Mike Tyson","R",69,170,0.241,27
"276","Rafael Landestoy","B",70,165,0.237,4
"277","Duane Josephson","R",72,190,0.258,23
"278","Duane Walker","L",72,185,0.229,24
"279","Glenn Hubbard","R",69,150,0.244,70
"280","Roger Freed","R",72,190,0.245,22
"281","George Hendrick","R",75,195,0.278,267
"282","Rod Carew","L",72,170,0.328,92
"283","Bob Davis","R",72,180,0.197,6
"284","Toby Harrah","R",72,175,0.264,195
"285","Rick Manning","L",73,180,0.257,56
"288","Gary Matthews","R",74,185,0.281,234
"289","Cesar Geronimo","L",72,165,0.258,51
"290","Billy Bryan","L",76,200,0.216,41
"292","Terry Whitfield","L",73,197,0.281,33
"293","Mario Mendoza","R",71,170,0.215,4
"294","Fred Lynn","L",73,185,0.283,306
"295","Larry Hisle","R",74,193,0.273,166
"296","Graig Nettles","L",72,180,0.248,390
"298","Dave Engle","R",75,210,0.262,31
"300","Mike Easler","L",72,190,0.293,118
"303","Rick Sweet","B",73,200,0.234,6
"304","Thurman Munson","R",71,190,0.292,113
"305","Rick Monday","L",75,193,0.264,241
"306","Mike Sadek","R",69,165,0.226,5
"307","Mark Belanger","R",73,170,0.228,20
"308","Ron Hunt","R",72,186,0.273,39
"309","Joe Keough","L",72,185,0.246,9
"311","Vic Correll","R",70,185,0.229,29
"312","Jackie Hernandez","R",71,165,0.208,12
"313","Tony Solaita","L",72,210,0.255,50
"314","U L Washington","B",71,175,0.251,27
"317","Joe Foy","R",72,215,0.248,58
"318","Ed Goodson","L",75,180,0.26,30
"320","Mickey Klutts","R",71,170,0.241,14
"321","Leroy Stanton","R",73,195,0.244,77
"324","Danny Ainge","R",76,175,0.22,2
"325","Adolfo Phillips","R",73,175,0.247,59
"326","Marv Breeding","R",72,175,0.25,7
"328","Dick McAuliffe","L",71,176,0.247,197
"329","Joe Horlen","R",72,170,0.134,0
"330","Glenn Burke","R",72,195,0.237,2
"332","Terry Humphrey","R",75,185,0.211,6
"334","Enzo Hernandez","R",68,155,0.224,2
"335","Cesar Gutierrez","R",69,155,0.235,0
"336","Coco Laboy","R",70,165,0.233,28
"337","Ted Kubiak","B",72,175,0.231,13
"338","Jim Morrison","R",71,175,0.26,112
"340","Bobby Knoop","R",73,170,0.236,56
"341","Bobby Brown","B",74,190,0.245,26
"342","Tom Hutton","L",71,180,0.248,22
"343","Ron Hodges","L",73,185,0.24,19
"344","Rich Chiles","L",71,170,0.254,6
"345","Tom Paciorek","R",76,215,0.282,86
"346","Gary Woods","R",74,185,0.243,13
"347","Bob Montgomery","R",73,195,0.258,23
"348","Jeff Burroughs","R",73,200,0.261,240
"349","Rusty Staub","L",74,190,0.279,292
"350","Jim Norris","L",70,175,0.264,7
"351","Oscar Gamble","L",71,160,0.265,200
"353","George Vukovich","L",72,198,0.268,27
"355","Craig Reynolds","L",73,175,0.256,42
"356","Paul Blair","R",72,168,0.25,134
"357","Al Cowens","R",73,197,0.27,108
"358","Al Oliver","L",72,195,0.303,219
"359","Dave Hilton","R",71,191,0.213,6
"360","Luis Alvarado","R",69,162,0.214,5
"361","Larry Parrish","R",75,190,0.263,256
"362","Woodie Fryman","R",75,197,0.138,2
"363","Bob Randall","R",74,175,0.257,1
"364","Jim Pankovits","R",70,170,0.25,9
"366","Carmen Fanzone","R",72,200,0.224,20
"367","Gary Allenson","R",71,185,0.221,19
"368","Milt May","L",72,190,0.263,77
"369","Mike Vail","R",73,180,0.279,34
"370","Nick Esasky","R",75,200,0.25,122
"371","Jim Nettles","L",72,186,0.22,16
"373","Chris Cannizzaro","R",72,190,0.235,18
"374","Larry Biittner","L",74,205,0.273,29
"376","Mel Stottlemyre","R",73,178,0.16,7
"379","Roy Smalley","B",73,185,0.257,163
"381","Andy Messersmith","R",73,200,0.17,5
"382","Richie Zisk","R",73,200,0.287,207
"383","Dave Chalk","R",70,175,0.252,15
"384","Don Baylor","R",73,190,0.26,338
"385","John Vukovich","R",73,187,0.161,6
"386","Danny Thompson","R",72,183,0.248,15
"387","Joe Simpson","L",75,175,0.242,9
"388","Bill Fahey","L",72,200,0.241,7
"389","Doug Camilli","R",71,195,0.199,18
"390","Bernie Allen","L",72,175,0.239,73
"391","Bruce Bochy","R",75,205,0.239,26
"393","Claudell Washington","L",72,190,0.278,164
"394","John Donaldson","L",71,160,0.238,4
"396","John Mayberry","L",75,215,0.253,255
"397","Ken Reitz","R",72,180,0.26,68
"398","Amos Otis","R",71,165,0.277,193
"399","Gene Alley","R",70,160,0.254,55
"400","Ted Sizemore","R",70,165,0.262,23
"401","Dan Briggs","L",72,180,0.195,12
"403","Doug Flynn","R",71,165,0.238,7
"405","Ken Holtzman","R",74,175,0.163,2
"406","Pete Ward","L",73,185,0.254,98
"407","Kevin Bell","R",72,195,0.222,13
"408","Tom Nieto","R",73,193,0.205,5
"409","Duke Sims","L",74,197,0.239,100
"410","Larvell Blanks","R",68,167,0.253,20
"412","Mike Davis","L",74,175,0.259,91
"413","Jerry Reuss","L",77,200,0.167,1
"414","Steve Yeager","R",72,190,0.228,102
"415","Danny Goodwin","L",73,195,0.236,13
"416","Bud Harrelson","B",71,160,0.236,7
"417","Bob Knepper","L",75,195,0.137,6
"418","Mickey Rivers","L",70,165,0.295,61
"419","Jim Northrup","L",75,190,0.267,153
"420","John Hale","L",74,195,0.201,14
"422","Pedro Garcia","R",70,175,0.22,37
"423","Carl Yastrzemski","L",71,175,0.285,452
"426","Derrel Thomas","B",72,160,0.249,43
"427","Art Howe","R",74,190,0.26,43
"428","Ike Brown","R",72,190,0.256,20
"429","Howie Goss","R",76,204,0.216,11
"430","Glenn Borgmann","R",76,210,0.229,16
"431","Lamar Johnson","R",74,215,0.287,64
"432","Julio Gonzalez","R",71,162,0.235,4
"433","Bobby Klaus","R",70,170,0.208,6
"434","Manny Sanguillen","R",72,193,0.296,65
"435","Gates Brown","L",71,220,0.257,84
"436","Johnny Ray","B",71,170,0.29,53
"437","Jesus Alou","R",74,190,0.28,32
"438","Ken Landreaux","L",70,165,0.268,91
"439","Enos Cabell","R",76,170,0.277,60
"441","Billy North","B",71,185,0.261,20
"442","Juan Beniquez","R",71,150,0.274,79
"443","Frank Fernandez","R",72,185,0.199,39
"444","Bombo Rivera","R",70,187,0.265,10
"445","Steve Brye","R",72,190,0.258,30
"446","Ron Jackson","R",72,200,0.259,56
"447","Roger Metzger","B",72,165,0.231,5
"448","Rufino Linares","R",72,170,0.27,11
"449","Ray Webster","L",72,185,0.244,17
"450","Bob Kearney","R",72,190,0.233,27
"451","Fergie Jenkins","R",77,205,0.165,13
"452","Dick Dietz","R",73,195,0.261,66
"453","Ted Cox","R",75,195,0.245,10
"454","Bobby Mitchell","L",70,170,0.243,3
"455","Bobby Mitchell","R",75,185,0.235,21
"456","Barry Evans","R",73,180,0.251,2
"457","Mickey Brantley","R",70,180,0.259,32
"458","Al Gallagher","R",72,180,0.263,11
"460","Hector Cruz","R",71,170,0.225,39
"461","Fred Norman","B",68,155,0.125,0
"462","Woody Woodward","R",74,180,0.236,1
"463","Ted Martinez","R",72,165,0.24,7
"464","Jim Anderson","R",72,170,0.218,13
"465","Lenn Sakata","R",69,160,0.23,25
"466","Dave Duncan","R",74,190,0.214,109
"467","Randy Jones","R",72,178,0.132,0
"468","Dick Billings","R",73,195,0.227,16
"470","Bruce Bochte","L",75,195,0.282,100
"471","Bernie Carbo","L",71,173,0.264,96
"472","Vic Davalillo","L",67,150,0.279,36
"473","Burt Hooton","R",73,210,0.123,4
"476","Fernando Gonzalez","R",70,165,0.235,17
"477","Jim Sundberg","R",72,190,0.248,95
"478","Andy Kosco","R",75,205,0.236,73
"479","Steve Huntz","B",73,204,0.206,16
"481","Lenny Faedo","R",72,170,0.251,5
"482","John Lowenstein","L",72,175,0.253,116
"483","Don Kessinger","B",73,170,0.252,14
"484","Joe Hague","L",72,195,0.239,40
"485","Bake McBride","L",74,190,0.299,63
"486","Dick Davis","R",75,190,0.265,27
"487","Richie Scheinblum","B",73,180,0.263,13
"488","Ed Herrmann","L",73,195,0.24,80
"491","Bob Molinaro","L",72,190,0.264,14
"492","Mike Hegan","L",73,188,0.242,53
"493","Mike Diaz","R",74,195,0.247,31
"494","Tim Foli","R",72,179,0.251,25
"495","Alan Knicely","R",72,190,0.213,12
"496","Tim Laudner","R",75,212,0.225,77
"497","Jose Morales","R",71,187,0.287,26
"500","Juan Marichal","R",72,185,0.165,4
"501","Vida Blue","B",72,189,0.104,4
"504","Stan Papi","R",72,170,0.218,7
"505","Rob Wilfong","L",73,180,0.248,39
"507","Steve Henderson","R",74,190,0.28,68
"508","Rob Picciolo","R",74,185,0.234,17
"511","Roberto Pena","R",68,170,0.245,13
"512","Bob Dernier","R",72,160,0.255,23
"513","Bill Melton","R",74,200,0.253,160
"514","Albert Hall","B",71,155,0.251,5
"515","Barbaro Garbey","R",70,170,0.267,11
"516","John Milner","L",72,185,0.249,131
"517","Rich Reese","L",75,185,0.253,52
"518","Chris Bando","B",72,195,0.227,27
"519","Bill Buckner","L",72,185,0.289,174
"520","Jack Hiatt","R",74,190,0.251,22
"521","Nelson Mathews","R",76,195,0.223,22
"522","Larry Lintz","B",69,150,0.227,0
"523","Ron Theobald","R",68,165,0.248,2
"525","Rafael Santana","R",73,165,0.246,13
"526","Jerry Hairston","B",70,170,0.258,30
"530","Tommie Aaron","R",75,190,0.229,13
"531","Steve Dillard","R",73,180,0.243,13
"534","George Scott","R",74,200,0.268,271
"536","Ken Walters","R",73,180,0.231,11
"537","Gorman Thomas","R",74,210,0.225,268
"538","Paul Dade","R",73,185,0.27,10
"539","Darrell Porter","L",72,193,0.247,188
"540","Tim Johnson","L",73,170,0.223,0
"541","Fred Stanley","R",70,165,0.216,10
"542","Larry Bowa","B",70,155,0.26,15
"543","Tim Corcoran","L",71,175,0.27,12
"544","Jim Spencer","L",74,195,0.25,146
"545","Pete LaCock","L",74,200,0.257,27
"546","Carl Morton","R",72,200,0.156,7
"547","Gary Gray","R",72,187,0.24,24
"548","Matty Alou","L",69,160,0.307,31
"550","Jim Dwyer","L",70,165,0.26,77
"551","Dalton Jones","L",73,180,0.235,41
"552","Rennie Stennett","R",71,160,0.274,41
"554","Jerry May","R",74,190,0.234,15
"555","Rich McKinney","R",71,185,0.225,20
"556","Clint Hurdle","L",75,195,0.259,32
"557","Mike Andrews","R",75,195,0.258,66
"558","Bobby Clark","R",72,190,0.239,19
"560","Cliff Johnson","R",76,215,0.258,196
"562","Donn Clendenon","R",76,209,0.274,159
"563","Charlie James","R",73,195,0.255,29
"564","Bob Horner","R",73,195,0.277,218
"565","Tom Veryzer","R",73,175,0.241,14
"567","George Smith","R",70,170,0.205,9
"568","Jim Essian","R",74,195,0.244,33
"569","Onix Concepcion","R",66,160,0.239,3
"570","Boots Day","L",69,160,0.256,8
"571","Brian Giles","R",73,165,0.228,10
"572","Garry Maddox","R",75,175,0.285,117
"573","Alex Trevino","R",70,165,0.249,23
"574","Jim Price","R",72,192,0.214,18
"575","Felix Millan","R",71,172,0.279,22
"576","Steve Garvey","R",70,192,0.294,272
"577","Don Mincher","L",75,205,0.249,200
"580","Tony Cloninger","R",72,210,0.192,11
"581","Jim Gosger","L",71,185,0.226,30
"582","Chuck Harrison","R",70,185,0.238,17
"583","Mike Ivie","R",75,205,0.269,81
"585","Bob Veale","B",78,212,0.114,0
"586","Marvell Wynne","L",71,175,0.247,40
"587","Dusty Baker","R",74,183,0.278,242
"588","Tucker Ashford","R",73,195,0.218,6
"589","Ned Yost","R",73,190,0.212,16
"590","Bob Stinson","B",71,180,0.25,33
"592","Gaylord Perry","R",76,205,0.131,6
"593","Dave Marshall","L",73,182,0.246,16
"594","Mickey Hatcher","R",74,200,0.28,38
"595","Roger Repoz","L",75,190,0.224,82
"597","John Orsino","R",75,215,0.249,40
"599","Johnny Briggs","L",73,190,0.253,139
"601","Dave Hostetler","R",76,215,0.229,37
"602","Bob Jones","L",74,195,0.221,20
"603","Keith Hernandez","L",72,180,0.296,162
"605","Dean Chance","R",75,200,0.066,0
"606","Willie Upshaw","L",72,185,0.262,123
"607","Dick Green","R",70,180,0.24,80
"608","Dane Iorg","L",72,180,0.276,14
"609","Richie Hebner","L",73,195,0.276,203
"610","Fran Healy","R",77,220,0.25,20
"611","Doc Edwards","R",74,215,0.238,15
"612","Sandy Alomar","B",69,140,0.245,13
"613","Joe Strain","R",70,169,0.25,1
"614","Gene Richards","L",72,175,0.29,26
"615","Buddy Bell","R",73,180,0.279,201
"616","Al Woods","L",75,190,0.271,35
"617","Rudy Law","L",73,165,0.271,18
"619","Jody Davis","R",76,192,0.245,127
"620","Mike Edwards","R",70,154,0.25,2
"623","Deron Johnson","R",74,200,0.244,245
"624","John Denny","R",75,185,0.17,0
"625","Don Wert","R",70,162,0.242,77
"626","Mike Fiore","L",72,175,0.227,13
"627","Miguel Dilone","B",72,160,0.265,6
"628","Greg Luzinski","R",73,220,0.276,307
"629","Bobby Tolan","L",71,170,0.265,86
"632","Ron Woods","R",70,168,0.233,26
"633","Tony Horton","R",75,210,0.268,76
"634","Randy Hundley","R",71,170,0.236,82
"635","Jose Tartabull","L",71,165,0.261,2
"636","Ben Oglivie","L",74,160,0.273,235
"638","Bob Johnson","R",70,175,0.272,44
"639","Don Buford","B",67,160,0.264,93
"640","Duane Kuiper","L",72,175,0.271,1
"641","Brant Alyea","R",75,215,0.247,38
"642","Jerry Narron","L",75,205,0.211,21
"643","Lou Johnson","R",71,170,0.258,48
"644","Ken Retzer","L",72,185,0.264,14
"645","Mike Brown","R",74,195,0.265,23
"647","Greg Walker","L",75,205,0.26,113
"648","Terry Harper","R",76,195,0.253,36
"649","Jerry Royster","R",72,165,0.249,40
"652","Barry Bonnell","R",75,190,0.272,56
"653","Tom Seaver","R",73,195,0.154,12
"654","Jerry Martin","R",73,195,0.251,85
"655","Bill Stein","R",70,170,0.267,44
"656","Joel Youngblood","R",72,180,0.265,80
"657","Reggie Jackson","L",72,195,0.262,563
"658","Sonny Jackson","L",69,150,0.251,7
"660","Rodney Scott","B",72,160,0.236,3
"661","Rich Coggins","L",68,170,0.265,12
"662","Phil Gagliano","R",73,180,0.238,14
"663","Jerry McNertney","R",72,180,0.237,27
"664","Mitchell Page","L",74,205,0.266,72
"665","Kiko Garcia","R",71,180,0.239,12
"666","Larry Milbourne","B",72,161,0.254,11
"667","Bill Sudakis","B",73,190,0.234,59
"669","Domingo Ramos","R",70,154,0.24,8
"670","Ron Oester","B",74,185,0.265,42
"671","Glenn Adams","L",73,180,0.28,34
"673","Joe Morgan","L",67,160,0.271,268
"674","R.J. Reynolds","B",72,190,0.267,35
"676","Lee Thomas","L",74,195,0.255,106
"677","Ray Fosse","R",74,215,0.256,61
"678","Paul Popovich","B",72,175,0.233,14
"679","John Stephenson","L",71,180,0.216,12
"680","Doug Clemens","L",72,180,0.229,12
"682","Orlando Mercado","R",72,180,0.199,7
"683","Charley Smith","R",73,170,0.239,69
"685","Buddy Biancalana","B",71,160,0.205,6
"687","Bob Uecker","R",73,190,0.2,14
"688","Felix Torres","R",71,165,0.254,27
"689","Steve Braun","L",70,180,0.271,52
"690","Ray Knight","R",73,185,0.271,84
"691","Ty Cline","L",72,170,0.238,6
"692","Thad Bosley","L",75,175,0.272,20
"693","Bobby Grich","R",74,180,0.266,224
"694","Jimmie Hall","L",72,175,0.254,121
"695","John Boccabella","R",73,195,0.219,26
"696","Brock Davis","L",70,160,0.26,1
"698","Curt Blefary","L",74,195,0.237,112
"701","Mack Jones","L",73,180,0.252,133
"702","Buddy Bradford","R",71,170,0.226,52
"703","Hosken Powell","L",73,175,0.259,17
"705","Dave Stapleton","R",73,178,0.271,41
"706","Gary Ward","R",74,195,0.276,130
"707","Jim Lonborg","R",77,200,0.136,3
"708","Joe Lis","R",72,175,0.233,32
"709","Dan Meyer","L",71,180,0.253,86
"710","Jim Holt","L",72,180,0.265,19
"712","Larry Herndon","R",75,190,0.274,107
"716","Wallace Johnson","B",72,173,0.255,5
"718","Eddie Leon","R",72,170,0.236,24
"720","Jim Wohlford","R",71,175,0.26,21
"721","J.R. Richard","R",80,222,0.168,10
"722","Bill Voss","L",74,160,0.227,19
"723","Keith Moreland","R",72,190,0.279,121
"725","Alex Johnson","R",72,205,0.288,78
"726","Wayne Krenchicki","L",73,180,0.266,15
"728","Dave Rosello","R",71,160,0.236,10
"730","Paul Schaal","R",71,165,0.244,57
"731","Tito Landrum","R",71,175,0.249,13
"732","Dave Edwards","R",72,170,0.237,14
"733","Mario Guerrero","R",70,155,0.257,7
"734","Tom Tresh","B",73,180,0.245,153
"736","Ron Roenicke","B",72,180,0.238,17
"737","Doug Griffin","R",72,160,0.245,7
"738","Steve Blass","R",72,165,0.172,1
"739","Johnnie LeMaster","R",74,165,0.222,22
"741","Nate Oliver","R",70,160,0.226,2
"742","Ray Sadecki","L",71,180,0.191,5
"743","Ken Rudolph","R",73,180,0.213,6
"744","Wayne Nordhagen","R",74,205,0.282,39
"745","Biff Pocoroba","B",70,175,0.257,21
"746","Len Matuszek","L",74,190,0.234,30
"748","Joe Lefebvre","L",70,170,0.258,31
"749","Jim Maloney","L",74,190,0.201,7
"750","Andre Robertson","R",70,155,0.251,5
"751","Jerry Zimmerman","R",74,185,0.204,3
"754","Chet Lemon","R",72,190,0.273,215
"756","Phil Mankowski","L",72,180,0.264,8
"757","Cleon Jones","R",72,185,0.281,93
"758","Joaquin Andujar","B",72,170,0.127,5
"759","Mike Lum","L",72,180,0.247,90
"760","Johnny Grubb","L",75,175,0.278,99
"761","Curt Motton","R",68,164,0.213,25
"762","Johnny Bench","R",73,197,0.267,389
"763","Dale Berra","R",72,180,0.236,49
"765","Bob Meacham","B",73,175,0.236,8
"767","Carl Warwick","R",70,170,0.248,31
"768","Sam Bowens","R",73,188,0.223,45
"769","George Wright","B",71,180,0.245,42
"770","Luis Aguayo","R",69,173,0.236,37
"771","Hal Lanier","R",74,180,0.228,8
"773","Len Randle","B",70,169,0.257,27
"774","Greg Pryor","R",72,180,0.25,14
"775","Jim Traber","L",72,194,0.227,27
"776","Dave Nelson","R",70,160,0.244,20
"777","Lynn Jones","R",69,175,0.252,7
"778","Bryan Little","B",70,160,0.245,3
